,CITY,Land Area,Households with Under 18,Population Density,Total Families
0,Afton,853.8066496,497,0.93,1040.41
1,Albin,7.685902049,37,0.1,74.87
2,Alpine,366.5988917,213,0.4,446.72
3,Baggs,253.2403224,62,0.06,129.53
4,Bairoil,29.4598297,18,0.01,33.7
5,Bar Nunn,208.5732199,417,0.6,843.88
6,Basin,543.9513043,250,0.66,566.43
7,Bear River,66.04092655,98,0.33,179.24
8,Big Piney,710.4893573,186,0.31,384.8
9,Buffalo,3115.5075,746,1.55,1819.5
10,Burlington,137.6462142,63,0.17,143.34
11,Burns,12.67135203,60,0.17,123.43
12,Byron,252.4895917,116,0.31,262.93
13,Casper,3894.3091,7788,11.16,8756.32
14,Cheyenne,1500.1784,7158,20.34,14612.64
15,Chugwater,84.44664041,39,0.17,103.56
16,Clearmont,18.04795251,25,0.09,57.55
17,Cody,2998.95696,1403,1.82,3515.62
18,Cokeville,235.1439045,137,0.26,286.54
19,Cowley,297.6806681,137,0.36,309.98
20,Dayton,100.9160162,141,0.48,321.81
21,Deaver,76.28585366,35,0.09,79.44
22,Diamondville,321.0451833,187,0.35,391.21
23,Dixon,55.95515096,14,0.01,28.62
24,Douglas,1829.4651,832,1.46,1744.08
25,Dubois,437.0735045,244,0.21,506.29
26,East Thermopolis,150.0841605,38,0.18,101.85
27,Edgerton,15.17589424,30,0.04,61.4
28,Elk Mountain,113.0640164,28,0.03,57.83
29,Evanston,999.4971,1486,4.95,2712.64
30,Evansville,215.8942543,432,0.62,873.51
31,Fort Laramie,62.78386652,41,0.17,100.01
32,Frannie,67.60091729,32,0.04,79.25
33,Gillette,2748.8529,4052,5.8,7189.43
34,Glendo,78.58229038,36,0.16,96.37
35,Glenrock,838.818,381,0.67,799.67
36,Grand Encampment,255.5477513,63,0.06,130.71
37,Granger,38.27024605,23,0.02,43.77
38,Green River,3477.361206,2113,1.46,3977.4
39,Greybull,691.22612,318,0.84,719.8
40,Guernsey,466.4113056,216,0.93,572.0
41,Hanna,479.3683551,118,0.12,245.19
42,Hartville,24.23931345,11,0.05,29.73
43,Hudson,202.3326243,113,0.1,234.37
44,Hulett,359.8361172,106,0.32,255.03
45,Jackson,1757.6592,1078,2.36,2313.08
46,Kaycee,221.5472,53,0.11,129.39
47,Kemmerer,1185.264109,690,1.29,1444.32
48,Kirby,55.38820208,14,0.07,37.59
49,La Barge,239.9161978,140,0.26,292.35
50,La Grange,125.8443139,81,0.35,200.47
51,Lander,3346.80934,1870,1.63,3876.81
52,Laramie,2513.745235,2075,5.19,4668.93
53,Lingle,129.1632849,84,0.35,205.76
54,Lost Springs,89.244,41,0.07,85.08
55,Lovell,809.453936,372,0.98,842.91
56,Lusk,2211.10042,205,0.79,548.14
57,Lyman,263.2764001,391,1.3,714.53
58,Manderson,48.5078526,22,0.06,50.51
59,Manville,144.8510854,13,0.05,35.91
60,Marbleton,1210.92214,316,0.53,655.83
61,Medicine Bow,159.7894517,39,0.04,81.73
62,Meeteetse,136.4537034,64,0.08,159.96
63,Midwest,31.41943934,63,0.09,127.12
64,Mills,281.4022601,563,0.81,1138.55
65,Moorcroft,931.9755436,273,0.82,660.52
66,Mountain View,165.2924534,246,0.82,448.6
67,Newcastle,1193.129216,386,1.47,957.04
68,Opal,42.95063939,25,0.05,52.34
69,Pavillion,105.1078568,59,0.05,121.75
70,Pine Bluffs,47.61104729,227,0.65,463.76
71,Pine Haven,447.995966,131,0.39,317.51
72,Pinedale,2585.758665,676,1.12,1400.43
73,Powell,2673.57455,1251,1.62,3134.18
74,Ranchester,119.8536565,167,0.57,382.2
75,Rawlins,5322.661628,1307,1.32,2722.43
76,Riverside,30.573433,8,0.01,15.64
77,Riverton,4796.859815,2680,2.34,5556.49
78,Rock River,200.444,165,0.41,372.3
79,Rock Springs,6620.201916,4022,2.78,7572.18
80,Rolling Hills,197.6670791,90,0.16,188.44
81,Saratoga,976.0424271,240,0.24,499.23
82,Sheridan,1893.977048,2646,8.98,6039.71
83,Shoshoni,286.8568592,160,0.14,332.28
84,Sinclair,244.587464,60,0.06,125.1
85,Star Valley Ranch,668.554902,389,0.73,814.67
86,Sundance,1114.592373,327,0.98,789.95
87,Superior,91.40806971,56,0.04,104.55
88,Ten Sleep,100.7925165,46,0.17,106.26
89,Thayne,157.9195226,92,0.17,192.43
90,Thermopolis,919.68149,233,1.1,624.1
91,Torrington,1599.818493,1034,4.39,2548.5
92,Upton,572.6548668,185,0.71,459.34
93,Van Tassell,23.36307829,2,0.01,5.79
94,Wamsutter,138.4887321,84,0.06,158.4
95,Wheatland,1430.51045,662,2.86,1754.34
96,Worland,1294.105755,595,2.18,1364.32
97,Wright,262.0087853,386,0.55,685.27
98,Yoder,44.52952647,29,0.12,70.94
